ip_1,ip_2,ip_3,ip_4
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
203,0,113,5
45,33,32,156
10,0,0,5
54,204,39,132
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
10,0,0,2
45,33,32,156
45,33,32,156
185,220,101,1
45,33,32,156
192,168,1,11
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
203,0,113,5
192,168,1,11
45,33,32,156
8,8,8,8
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
10,0,0,1
31,13,71,36
45,33,32,156
1,1,1,1
45,33,32,156
45,33,32,156
45,33,32,156
10,0,0,5
45,33,32,156
54,204,39,132
45,33,32,156
185,220,101,1
45,33,32,156
45,33,32,156
45,33,32,156
10,0,0,5
10,0,0,1
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
192,168,1,10
1,1,1,1
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
31,13,71,36
45,33,32,156
45,33,32,156
151,101,1,140
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
54,204,39,132
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
66,249,73,135
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
8,8,8,8
45,33,32,156
10,0,0,5
45,33,32,156
45,33,32,156
10,0,0,5
66,249,73,135
66,249,73,135
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
54,204,39,132
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
151,101,1,140
45,33,32,156
45,33,32,156
45,33,32,156
45,33,32,156
198,51,100,7
45,33,32,156
45,33,32,156
45,33,32,156
192,168,1,19
192,168,1,7
192,168,1,16
192,168,1,8
192,168,1,26
192,168,1,16
192,168,1,25
192,168,1,12
192,168,1,27
203,0,113,1
10,0,0,11
192,168,1,11
192,168,1,18
192,168,1,29
10,0,0,14
192,168,1,2
192,168,1,17
203,0,113,2
203,0,113,8
192,168,1,6
192,168,1,6
192,168,1,10
192,168,1,29
192,168,1,8
192,168,1,17
192,168,1,12
10,0,0,3
10,0,0,8
192,168,1,7
10,0,0,11
203,0,113,5
192,168,1,6
192,168,1,6
10,0,0,7
10,0,0,9
10,0,0,6
10,0,0,14
203,0,113,4
192,168,1,4
10,0,0,13
192,168,1,28
192,168,1,14
192,168,1,6
10,0,0,11
10,0,0,6
203,0,113,6
203,0,113,6
192,168,1,14
192,168,1,29
203,0,113,7
203,0,113,3
203,0,113,9
203,0,113,4
192,168,1,9
10,0,0,2
192,168,1,18
192,168,1,19
192,168,1,6
192,168,1,26
192,168,1,28
203,0,113,2
10,0,0,10
192,168,1,26
192,168,1,18
203,0,113,1
192,168,1,9
192,168,1,9
203,0,113,5
192,168,1,4
192,168,1,28
192,168,1,19
192,168,1,7
192,168,1,22
192,168,1,19
10,0,0,4
203,0,113,2
192,168,1,23
203,0,113,7
10,0,0,12
192,168,1,10
203,0,113,8
192,168,1,18
192,168,1,11
10,0,0,13
10,0,0,10
10,0,0,9
203,0,113,5
192,168,1,14
192,168,1,21
10,0,0,8
192,168,1,7
192,168,1,19
192,168,1,8
10,0,0,9
10,0,0,6
10,0,0,14
192,168,1,9
192,168,1,16
192,168,1,28
203,0,113,7
192,168,1,21
192,168,1,26
192,168,1,4
192,168,1,8
10,0,0,4
192,168,1,22
203,0,113,7
192,168,1,4
203,0,113,3
192,168,1,11
10,0,0,8
192,168,1,14
192,168,1,3
192,168,1,20
203,0,113,2
203,0,113,6
192,168,1,25
192,168,1,9
192,168,1,18
203,0,113,3
10,0,0,3
192,168,1,8
192,168,1,28
203,0,113,4
203,0,113,1
192,168,1,15
203,0,113,8
192,168,1,11
192,168,1,17
203,0,113,7
192,168,1,4
192,168,1,8
10,0,0,14
203,0,113,4
192,168,1,28
10,0,0,4
10,0,0,9
203,0,113,6
192,168,1,16
203,0,113,9
192,168,1,23
192,168,1,7
192,168,1,22
192,168,1,19
192,168,1,24
10,0,0,12
192,168,1,2
203,0,113,2
192,168,1,22
10,0,0,13
192,168,1,27
192,168,1,14
203,0,113,8
203,0,113,3
192,168,1,21
192,168,1,20
192,168,1,14
192,168,1,23
192,168,1,25
192,168,1,6
203,0,113,2
10,0,0,9
192,168,1,3
192,168,1,6
192,168,1,13
10,0,0,2
192,168,1,14
192,168,1,14
10,0,0,7
192,168,1,16
192,168,1,25
10,0,0,4
10,0,0,9
10,0,0,14
192,168,1,17
203,0,113,2
192,168,1,3
192,168,1,6
203,0,113,1
192,168,1,20
10,0,0,4
192,168,1,25
10,0,0,7
192,168,1,8
192,168,1,24
203,0,113,2
10,0,0,2
192,168,1,11
192,168,1,22
192,168,1,9
10,0,0,2
192,168,1,21
192,168,1,17
10,0,0,13
192,168,1,6
10,0,0,9
192,168,1,12
10,0,0,9
192,168,1,11
10,0,0,10
10,0,0,4
192,168,1,23
10,0,0,9
192,168,1,20
192,168,1,12
10,0,0,3
203,0,113,3
192,168,1,25
203,0,113,8
192,168,1,25
10,0,0,4
192,168,1,27
10,0,0,4
203,0,113,4
203,0,113,6
192,168,1,3
10,0,0,4
10,0,0,7
203,0,113,6
192,168,1,20
192,168,1,19
192,168,1,24
192,168,1,10
192,168,1,28
203,0,113,1
203,0,113,1
10,0,0,5
10,0,0,3
192,168,1,12
203,0,113,3
192,168,1,10
192,168,1,21
192,168,1,27
10,0,0,4
192,168,1,15
10,0,0,10
192,168,1,9
192,168,1,28
192,168,1,15
192,168,1,6
192,168,1,28
192,168,1,13
203,0,113,3
192,168,1,11
192,168,1,17
192,168,1,17
192,168,1,10
192,168,1,17
203,0,113,7
192,168,1,28
203,0,113,5
192,168,1,17
192,168,1,14
203,0,113,2
192,168,1,9
192,168,1,26
203,0,113,6
192,168,1,11
192,168,1,17
192,168,1,12
203,0,113,2
10,0,0,3
192,168,1,3
192,168,1,8
192,168,1,7
203,0,113,1
192,168,1,12
192,168,1,4
10,0,0,10
192,168,1,27
10,0,0,8
192,168,1,6
192,168,1,24
203,0,113,5
192,168,1,7
10,0,0,9
192,168,1,22
10,0,0,10
192,168,1,12
10,0,0,14
10,0,0,13
192,168,1,14
192,168,1,17
203,0,113,3
192,168,1,28
192,168,1,26
192,168,1,28
192,168,1,17
192,168,1,23
203,0,113,4
192,168,1,11
192,168,1,24
203,0,113,4
203,0,113,3
192,168,1,27
10,0,0,2
192,168,1,6
10,0,0,5
10,0,0,13
192,168,1,25
10,0,0,8
192,168,1,5
203,0,113,3
192,168,1,20
203,0,113,9
203,0,113,8
192,168,1,18
203,0,113,5
192,168,1,24
203,0,113,3
203,0,113,5
10,0,0,2
10,0,0,5
192,168,1,15
10,0,0,5
10,0,0,3
192,168,1,7
203,0,113,4
192,168,1,16
192,168,1,6
203,0,113,9
192,168,1,24
192,168,1,9
10,0,0,9
203,0,113,7
192,168,1,6
10,0,0,8
192,168,1,5
10,0,0,8
192,168,1,11
192,168,1,5
203,0,113,2
10,0,0,7
192,168,1,3
192,168,1,6
192,168,1,8
192,168,1,4
203,0,113,1
192,168,1,9
192,168,1,20
192,168,1,21
203,0,113,6
203,0,113,4
10,0,0,5
192,168,1,25
10,0,0,10
203,0,113,4
203,0,113,9
192,168,1,24
203,0,113,5
10,0,0,6
192,168,1,17
192,168,1,14
203,0,113,1
192,168,1,29
192,168,1,19
192,168,1,5
10,0,0,14
10,0,0,10
203,0,113,9
192,168,1,8
192,168,1,26
10,0,0,10
192,168,1,16
192,168,1,10
192,168,1,9
192,168,1,12
10,0,0,13
10,0,0,10
203,0,113,7
192,168,1,23
192,168,1,2
192,168,1,26
192,168,1,22
192,168,1,7
192,168,1,12
10,0,0,8
192,168,1,11
192,168,1,14
192,168,1,27
192,168,1,13
192,168,1,11
10,0,0,9
203,0,113,5
192,168,1,10
192,168,1,18
10,0,0,3
192,168,1,8
10,0,0,4
192,168,1,27
192,168,1,21
203,0,113,9
203,0,113,7
192,168,1,10
192,168,1,25
192,168,1,3
192,168,1,24
192,168,1,15
192,168,1,2
203,0,113,5
10,0,0,7
192,168,1,21
203,0,113,1
10,0,0,12
192,168,1,26
192,168,1,24
192,168,1,18
192,168,1,21
10,0,0,14
192,168,1,28
192,168,1,22
192,168,1,19
192,168,1,29
192,168,1,3
192,168,1,21
192,168,1,29
192,168,1,27
192,168,1,9
192,168,1,8
10,0,0,4
192,168,1,19
192,168,1,8
192,168,1,4
192,168,1,9
203,0,113,1
192,168,1,20
192,168,1,10
192,168,1,23
192,168,1,28
10,0,0,10
203,0,113,6
192,168,1,2
192,168,1,29
192,168,1,5
192,168,1,19
10,0,0,2
192,168,1,3
10,0,0,9
10,0,0,13
192,168,1,23
203,0,113,7
10,0,0,3
203,0,113,2
10,0,0,11
192,168,1,22
192,168,1,10
192,168,1,15
10,0,0,8
192,168,1,28
203,0,113,2
192,168,1,20
192,168,1,16
192,168,1,26
10,0,0,2
192,168,1,13
10,0,0,11
203,0,113,9
10,0,0,7
192,168,1,24
10,0,0,4
10,0,0,13
10,0,0,7
192,168,1,8
203,0,113,3
203,0,113,3
192,168,1,18
192,168,1,3
10,0,0,6
203,0,113,2
10,0,0,8
192,168,1,4
192,168,1,15
192,168,1,13
192,168,1,14
192,168,1,14
192,168,1,22
192,168,1,25
192,168,1,13
192,168,1,6
10,0,0,11
192,168,1,27
203,0,113,2
203,0,113,2
192,168,1,4
192,168,1,8
192,168,1,26
192,168,1,24
203,0,113,1
192,168,1,16
192,168,1,28
10,0,0,10
192,168,1,3
192,168,1,28
10,0,0,3
10,0,0,6
10,0,0,8
203,0,113,3
203,0,113,9
192,168,1,7
10,0,0,7
203,0,113,1
192,168,1,27
192,168,1,24
192,168,1,15
192,168,1,26
192,168,1,25
10,0,0,12
192,168,1,20
192,168,1,7
192,168,1,6
192,168,1,16
192,168,1,6
203,0,113,4
192,168,1,18
192,168,1,18
192,168,1,24
192,168,1,15
203,0,113,3
10,0,0,5
192,168,1,5
203,0,113,9
192,168,1,15
10,0,0,13
192,168,1,27
192,168,1,19
192,168,1,2
192,168,1,18
10,0,0,14
192,168,1,24
203,0,113,9
192,168,1,26
10,0,0,14
203,0,113,5
192,168,1,12
192,168,1,12
203,0,113,8
192,168,1,16
203,0,113,2
192,168,1,13
192,168,1,24
192,168,1,2
203,0,113,8
192,168,1,14
192,168,1,26
203,0,113,4
192,168,1,10
192,168,1,3
192,168,1,2
10,0,0,5
10,0,0,8
192,168,1,26
192,168,1,26
192,168,1,21
192,168,1,12
10,0,0,12
203,0,113,8
192,168,1,22
192,168,1,18
192,168,1,13
10,0,0,9
10,0,0,14
10,0,0,8
192,168,1,22
192,168,1,14
192,168,1,25
192,168,1,5
192,168,1,21
192,168,1,17
192,168,1,29
10,0,0,12
192,168,1,29
192,168,1,18
192,168,1,21
192,168,1,19
10,0,0,11
192,168,1,6
192,168,1,21
192,168,1,9
10,0,0,10
192,168,1,7
192,168,1,5
192,168,1,10
192,168,1,17
192,168,1,25
10,0,0,2
192,168,1,7
192,168,1,21
192,168,1,18
192,168,1,18
192,168,1,26
192,168,1,26
203,0,113,5
192,168,1,3
192,168,1,18
192,168,1,26
10,0,0,12
192,168,1,10
203,0,113,6
203,0,113,7
192,168,1,19
192,168,1,10
192,168,1,12
203,0,113,8
192,168,1,27
10,0,0,8
192,168,1,4
192,168,1,20
192,168,1,7
192,168,1,13
192,168,1,12
10,0,0,6
10,0,0,10
10,0,0,2
10,0,0,5
192,168,1,28
192,168,1,15
10,0,0,12
203,0,113,2
192,168,1,26
10,0,0,7
10,0,0,7
192,168,1,10
192,168,1,2
192,168,1,4
10,0,0,6
192,168,1,13
192,168,1,11
203,0,113,3
192,168,1,3
203,0,113,5
192,168,1,15
10,0,0,6
192,168,1,22
192,168,1,2
192,168,1,21
203,0,113,9
10,0,0,6
192,168,1,20
192,168,1,3
10,0,0,11
192,168,1,7
10,0,0,3
192,168,1,23
192,168,1,12
192,168,1,22
192,168,1,17
192,168,1,29
10,0,0,3
10,0,0,12
203,0,113,8
10,0,0,2
192,168,1,7
203,0,113,5
192,168,1,22
192,168,1,14
192,168,1,6
192,168,1,28
192,168,1,26
10,0,0,6
10,0,0,4
10,0,0,13
192,168,1,23
192,168,1,20
192,168,1,12
192,168,1,19
10,0,0,11
10,0,0,7
192,168,1,17
192,168,1,5
192,168,1,16
192,168,1,26
192,168,1,19
192,168,1,17
192,168,1,6
192,168,1,20
10,0,0,12
192,168,1,13
192,168,1,29
192,168,1,5
10,0,0,5
192,168,1,6
203,0,113,2
10,0,0,5
203,0,113,9
192,168,1,25
192,168,1,14
192,168,1,4
10,0,0,8
192,168,1,15
192,168,1,4
192,168,1,10
192,168,1,8
192,168,1,27
192,168,1,19
192,168,1,4
192,168,1,7
192,168,1,28
192,168,1,21
10,0,0,13
203,0,113,3
192,168,1,18
10,0,0,5
203,0,113,3
192,168,1,26
10,0,0,3
203,0,113,4
192,168,1,16
10,0,0,7
192,168,1,17
10,0,0,4
192,168,1,8
192,168,1,24
203,0,113,7
10,0,0,3
203,0,113,4
203,0,113,3
203,0,113,1
203,0,113,8
192,168,1,6
203,0,113,3
192,168,1,7
192,168,1,11
203,0,113,7
203,0,113,1
10,0,0,9
192,168,1,25
10,0,0,8
192,168,1,10
192,168,1,11
10,0,0,5
10,0,0,4
203,0,113,3
192,168,1,22
192,168,1,3
10,0,0,12
192,168,1,24
192,168,1,28
192,168,1,11
192,168,1,26
203,0,113,8
10,0,0,11
10,0,0,14
203,0,113,8
10,0,0,14
192,168,1,5
10,0,0,14
203,0,113,8
192,168,1,21
10,0,0,7
192,168,1,14
10,0,0,4
203,0,113,5
192,168,1,10
192,168,1,4
203,0,113,8
203,0,113,7
10,0,0,11
203,0,113,6
192,168,1,24
10,0,0,3
10,0,0,5
192,168,1,14
203,0,113,2
192,168,1,12
192,168,1,29
10,0,0,5
192,168,1,10
192,168,1,11
10,0,0,5
203,0,113,8
192,168,1,4
10,0,0,5
192,168,1,18
192,168,1,25
192,168,1,24
192,168,1,21
10,0,0,10
192,168,1,26
192,168,1,23
10,0,0,8
192,168,1,7
192,168,1,15
192,168,1,28
192,168,1,13
203,0,113,9
203,0,113,8
203,0,113,1
192,168,1,21
192,168,1,19
192,168,1,7
203,0,113,6
10,0,0,7
203,0,113,7
192,168,1,28
192,168,1,19
192,168,1,4
203,0,113,3
192,168,1,21
203,0,113,1
203,0,113,5
10,0,0,9
203,0,113,1
10,0,0,7
203,0,113,3
10,0,0,10
192,168,1,14
10,0,0,10
192,168,1,19
203,0,113,6
10,0,0,13
203,0,113,4
192,168,1,5
192,168,1,27
10,0,0,5
192,168,1,4
203,0,113,8
10,0,0,9
192,168,1,12
10,0,0,5
192,168,1,13
192,168,1,28
192,168,1,27
10,0,0,3
10,0,0,10
10,0,0,12
192,168,1,15
192,168,1,21
192,168,1,26
192,168,1,7
192,168,1,7
192,168,1,21
192,168,1,8
192,168,1,7
192,168,1,7
192,168,1,13
192,168,1,9
10,0,0,13
192,168,1,14
10,0,0,8
192,168,1,11
192,168,1,27
203,0,113,6
203,0,113,3
192,168,1,19
192,168,1,3
203,0,113,3
203,0,113,7
192,168,1,10
192,168,1,17
10,0,0,6
192,168,1,18
10,0,0,12
192,168,1,8
10,0,0,2
10,0,0,2
203,0,113,5
192,168,1,28
192,168,1,6
203,0,113,1
203,0,113,6
10,0,0,2
192,168,1,4
10,0,0,9
192,168,1,18
10,0,0,14
192,168,1,23
203,0,113,7
192,168,1,8
10,0,0,2
10,0,0,5
10,0,0,5
192,168,1,4
10,0,0,7
192,168,1,11
192,168,1,9
192,168,1,23
203,0,113,6
10,0,0,2
10,0,0,9
192,168,1,14
203,0,113,5
192,168,1,3
192,168,1,8
203,0,113,3
192,168,1,28
10,0,0,5
10,0,0,4
10,0,0,9
192,168,1,11
10,0,0,3
192,168,1,26
203,0,113,4
203,0,113,3
192,168,1,3
203,0,113,4
10,0,0,8
203,0,113,4
192,168,1,19
192,168,1,19
10,0,0,5
203,0,113,7
203,0,113,3
203,0,113,1
10,0,0,7
192,168,1,23
192,168,1,6
192,168,1,18
192,168,1,6
192,168,1,4
192,168,1,6
10,0,0,12
192,168,1,8
10,0,0,12
10,0,0,13
203,0,113,1
10,0,0,7
192,168,1,14
203,0,113,4
192,168,1,4
203,0,113,7
192,168,1,9
192,168,1,16
192,168,1,18
192,168,1,25
192,168,1,14
192,168,1,4
192,168,1,10
203,0,113,1
203,0,113,4
192,168,1,14
192,168,1,25
192,168,1,4
192,168,1,22
192,168,1,20
192,168,1,14
203,0,113,8
10,0,0,11
203,0,113,7
10,0,0,3
192,168,1,3
192,168,1,16
192,168,1,4
192,168,1,26
192,168,1,8
192,168,1,20
192,168,1,12
192,168,1,26
192,168,1,14
192,168,1,17
10,0,0,3
192,168,1,29
10,0,0,14
192,168,1,25
192,168,1,3
203,0,113,5
10,0,0,2
10,0,0,8
203,0,113,5
192,168,1,8
192,168,1,17
192,168,1,14
192,168,1,22
192,168,1,15
10,0,0,3
203,0,113,9
192,168,1,22
192,168,1,3
10,0,0,13
10,0,0,5
203,0,113,7
192,168,1,20
192,168,1,17
10,0,0,5
192,168,1,15
192,168,1,13
192,168,1,25
10,0,0,4
10,0,0,3
10,0,0,4
192,168,1,28
192,168,1,9
192,168,1,25
10,0,0,14
192,168,1,12
10,0,0,7
192,168,1,26
192,168,1,11
192,168,1,6
192,168,1,10
192,168,1,14
10,0,0,14
192,168,1,17
192,168,1,4
192,168,1,29
192,168,1,24
192,168,1,19
192,168,1,22
10,0,0,13
10,0,0,7
10,0,0,3
203,0,113,4
192,168,1,16
203,0,113,4
203,0,113,1
192,168,1,23
203,0,113,7
203,0,113,9
192,168,1,20
203,0,113,4
10,0,0,4
192,168,1,15
192,168,1,12
10,0,0,7
10,0,0,11
192,168,1,11
192,168,1,11
10,0,0,6
192,168,1,21
192,168,1,26
10,0,0,6
192,168,1,29
192,168,1,27
192,168,1,9
192,168,1,4
192,168,1,9
192,168,1,17
10,0,0,7
192,168,1,15
10,0,0,9
192,168,1,29
10,0,0,6
192,168,1,6
192,168,1,23
192,168,1,8
192,168,1,20
203,0,113,7
203,0,113,2
203,0,113,9
10,0,0,6
192,168,1,28
192,168,1,20
10,0,0,8
192,168,1,24
192,168,1,16
192,168,1,25
192,168,1,15
192,168,1,5
192,168,1,13
192,168,1,11
192,168,1,25
192,168,1,2
192,168,1,4
203,0,113,3
192,168,1,3
192,168,1,23
192,168,1,17
203,0,113,2
10,0,0,14
192,168,1,11
192,168,1,16
192,168,1,19
192,168,1,2
10,0,0,5
192,168,1,23
192,168,1,10
10,0,0,8
192,168,1,14
192,168,1,29
203,0,113,4
10,0,0,8
192,168,1,19
10,0,0,6
192,168,1,16
192,168,1,5
192,168,1,25
192,168,1,2
203,0,113,9
192,168,1,22
10,0,0,4
203,0,113,1
192,168,1,6
192,168,1,2
192,168,1,4
192,168,1,8
192,168,1,12
192,168,1,9
192,168,1,11
203,0,113,3
192,168,1,6
192,168,1,23
192,168,1,19
203,0,113,1
203,0,113,6
192,168,1,29
10,0,0,5
203,0,113,4
10,0,0,9
192,168,1,10
203,0,113,7
10,0,0,11
10,0,0,10
203,0,113,6
203,0,113,8
203,0,113,5
192,168,1,10
10,0,0,12
192,168,1,29
192,168,1,17
10,0,0,9
192,168,1,4
192,168,1,14
203,0,113,9
10,0,0,14
203,0,113,1
203,0,113,5
192,168,1,2
192,168,1,6
192,168,1,18
10,0,0,13
10,0,0,6
192,168,1,8
192,168,1,24
203,0,113,9
203,0,113,4
10,0,0,14
192,168,1,15
192,168,1,6
192,168,1,5
10,0,0,8
10,0,0,12
10,0,0,5
10,0,0,14
192,168,1,26
192,168,1,21
192,168,1,29
10,0,0,8
192,168,1,8
10,0,0,11
10,0,0,4
192,168,1,19
192,168,1,25
10,0,0,13
192,168,1,27
10,0,0,14
192,168,1,29
10,0,0,14
203,0,113,9
192,168,1,8
10,0,0,5
192,168,1,15
203,0,113,2
192,168,1,2
203,0,113,8
203,0,113,4
10,0,0,3
203,0,113,5
192,168,1,29
192,168,1,25
203,0,113,1
192,168,1,24
192,168,1,22
192,168,1,6
203,0,113,2
10,0,0,5
192,168,1,17
10,0,0,8
203,0,113,6
192,168,1,5
192,168,1,2
192,168,1,25
192,168,1,23
192,168,1,11
10,0,0,5
10,0,0,9
192,168,1,26
203,0,113,8
10,0,0,2
10,0,0,10
192,168,1,19
192,168,1,11
192,168,1,5
10,0,0,12
192,168,1,4
203,0,113,5
10,0,0,14
10,0,0,4
192,168,1,11
203,0,113,8
192,168,1,3
192,168,1,8
10,0,0,3
10,0,0,12
203,0,113,2
192,168,1,15
10,0,0,2
192,168,1,14
192,168,1,20
10,0,0,9
192,168,1,15
192,168,1,5
192,168,1,11
192,168,1,17
192,168,1,29
192,168,1,21
192,168,1,8
192,168,1,29
203,0,113,8
192,168,1,20
192,168,1,19
192,168,1,5
192,168,1,16
192,168,1,9
192,168,1,3
192,168,1,17
203,0,113,7
203,0,113,2
192,168,1,29
203,0,113,1
192,168,1,2
192,168,1,24
10,0,0,4
10,0,0,11
203,0,113,3
192,168,1,28
192,168,1,3
192,168,1,14
10,0,0,7
192,168,1,25
10,0,0,4
